id,__run_id,__done,msg_type,msg_interval,msg_size,exec_time,cli
2,run_1_repetition_0,DONE,Image,0.1,1,120,2
4,run_3_repetition_0,DONE,Image,0.1,2,120,2
6,run_5_repetition_0,DONE,Image,0.1,3,120,2
8,run_7_repetition_0,DONE,Image,0.2,1,120,2
10,run_9_repetition_0,DONE,Image,0.2,2,120,2
12,run_11_repetition_0,DONE,Image,0.2,3,120,2
14,run_13_repetition_0,DONE,Image,0.5,1,120,2
16,run_15_repetition_0,DONE,Image,0.5,2,120,2
18,run_17_repetition_0,DONE,Image,0.5,3,120,2
20,run_19_repetition_0,DONE,Image,1.0,1,120,2
22,run_21_repetition_0,DONE,Image,1.0,2,120,2
24,run_23_repetition_0,DONE,Image,1.0,3,120,2
26,run_25_repetition_0,DONE,Twist,0.1,1,120,2
28,run_27_repetition_0,DONE,Twist,0.1,2,120,2
30,run_29_repetition_0,DONE,Twist,0.1,3,120,2
32,run_31_repetition_0,DONE,Twist,0.2,1,120,2
34,run_33_repetition_0,DONE,Twist,0.2,2,120,2
36,run_35_repetition_0,DONE,Twist,0.2,3,120,2
38,run_37_repetition_0,DONE,Twist,0.5,1,120,2
40,run_39_repetition_0,DONE,Twist,0.5,2,120,2
42,run_41_repetition_0,DONE,Twist,0.5,3,120,2
44,run_43_repetition_0,DONE,Twist,1.0,1,120,2
46,run_45_repetition_0,DONE,Twist,1.0,2,120,2
48,run_47_repetition_0,DONE,Twist,1.0,3,120,2
49,run_48_repetition_0,DONE,JointState,0.1,1,120,1
50,run_49_repetition_0,DONE,JointState,0.1,1,120,2
51,run_50_repetition_0,DONE,JointState,0.1,2,120,1
52,run_51_repetition_0,DONE,JointState,0.1,2,120,2
53,run_52_repetition_0,DONE,JointState,0.1,3,120,1
54,run_53_repetition_0,DONE,JointState,0.1,3,120,2
55,run_54_repetition_0,DONE,JointState,0.2,1,120,1
56,run_55_repetition_0,DONE,JointState,0.2,1,120,2
57,run_56_repetition_0,DONE,JointState,0.2,2,120,1
58,run_57_repetition_0,DONE,JointState,0.2,2,120,2
59,run_58_repetition_0,DONE,JointState,0.2,3,120,1
60,run_59_repetition_0,DONE,JointState,0.2,3,120,2
61,run_60_repetition_0,DONE,JointState,0.5,1,120,1
62,run_61_repetition_0,DONE,JointState,0.5,1,120,2
63,run_62_repetition_0,DONE,JointState,0.5,2,120,1
64,run_63_repetition_0,DONE,JointState,0.5,2,120,2
65,run_64_repetition_0,DONE,JointState,0.5,3,120,1
66,run_65_repetition_0,DONE,JointState,0.5,3,120,2
67,run_66_repetition_0,DONE,JointState,1.0,1,120,1
68,run_67_repetition_0,DONE,JointState,1.0,1,120,2
69,run_68_repetition_0,DONE,JointState,1.0,2,120,1
70,run_69_repetition_0,DONE,JointState,1.0,2,120,2
71,run_70_repetition_0,DONE,JointState,1.0,3,120,1
72,run_71_repetition_0,DONE,JointState,1.0,3,120,2
73,run_72_repetition_0,DONE,PointCloud2,0.1,1,120,1
74,run_73_repetition_0,DONE,PointCloud2,0.1,1,120,2
75,run_74_repetition_0,DONE,PointCloud2,0.1,2,120,1
76,run_75_repetition_0,DONE,PointCloud2,0.1,2,120,2
77,run_76_repetition_0,DONE,PointCloud2,0.1,3,120,1
