__run_id,__done,msg_type,msg_interval,msg_size,exec_time,cli
run_0_repetition_0,DONE,Image,0.1,1,120,1
run_1_repetition_0,DONE,Image,0.1,1,120,2
run_2_repetition_0,DONE,Image,0.1,2,120,1
run_3_repetition_0,DONE,Image,0.1,2,120,2
run_4_repetition_0,DONE,Image,0.1,3,120,1
run_5_repetition_0,DONE,Image,0.1,3,120,2
run_6_repetition_0,DONE,Image,0.2,1,120,1
run_7_repetition_0,DONE,Image,0.2,1,120,2
run_8_repetition_0,DONE,Image,0.2,2,120,1
run_9_repetition_0,DONE,Image,0.2,2,120,2
run_10_repetition_0,DONE,Image,0.2,3,120,1
run_11_repetition_0,DONE,Image,0.2,3,120,2
run_12_repetition_0,DONE,Image,0.5,1,120,1
run_13_repetition_0,DONE,Image,0.5,1,120,2
run_14_repetition_0,DONE,Image,0.5,2,120,1
run_15_repetition_0,DONE,Image,0.5,2,120,2
run_16_repetition_0,DONE,Image,0.5,3,120,1
run_17_repetition_0,DONE,Image,0.5,3,120,2
run_18_repetition_0,DONE,Image,1.0,1,120,1
run_19_repetition_0,DONE,Image,1.0,1,120,2
run_20_repetition_0,DONE,Image,1.0,2,120,1
run_21_repetition_0,DONE,Image,1.0,2,120,2
run_22_repetition_0,DONE,Image,1.0,3,120,1
run_23_repetition_0,DONE,Image,1.0,3,120,2
run_24_repetition_0,DONE,Pose,0.1,1,120,1
run_25_repetition_0,DONE,Pose,0.1,1,120,2
run_26_repetition_0,DONE,Pose,0.1,2,120,1
run_27_repetition_0,DONE,Pose,0.1,2,120,2
run_28_repetition_0,DONE,Pose,0.1,3,120,1
run_29_repetition_0,DONE,Pose,0.1,3,120,2
run_30_repetition_0,DONE,Pose,0.2,1,120,1
run_31_repetition_0,DONE,Pose,0.2,1,120,2
run_32_repetition_0,DONE,Pose,0.2,2,120,1
run_33_repetition_0,DONE,Pose,0.2,2,120,2
run_34_repetition_0,DONE,Pose,0.2,3,120,1
run_35_repetition_0,DONE,Pose,0.2,3,120,2
run_36_repetition_0,DONE,Pose,0.5,1,120,1
run_37_repetition_0,DONE,Pose,0.5,1,120,2
run_38_repetition_0,DONE,Pose,0.5,2,120,1
run_39_repetition_0,DONE,Pose,0.5,2,120,2
run_40_repetition_0,DONE,Pose,0.5,3,120,1
